x,y
-19.54,-0.04
-19.53,0.02
-19.53,0.08
-19.47,0.10
-19.46,0.04
-19.48,0.10
-19.54,0.09
-19.49,0.11
-19.49,0.17
-19.51,0.11
-19.57,0.11
-19.62,0.09
-19.58,0.05
-19.61,0.10
-19.62,0.16
-19.68,0.15
-19.74,0.15
-19.69,0.11
-19.68,0.06
-19.67,0.00
-19.63,-0.05
-19.64,0.01
-19.66,-0.04
-19.66,-0.10
-19.60,-0.11
-19.57,-0.16
-19.60,-0.11
-19.60,-0.17
-19.57,-0.22
-19.51,-0.24
-19.46,-0.22
-19.47,-0.28
-19.46,-0.22
-19.47,-0.28
-19.50,-0.34
-19.52,-0.39
-19.47,-0.43
-19.45,-0.37
-19.40,-0.40
-19.37,-0.34
-19.41,-0.39
-19.36,-0.36
-19.38,-0.41
-19.44,-0.43
-19.49,-0.39
-19.55,-0.39
-19.59,-0.35
-19.58,-0.41
-19.53,-0.42
-19.56,-0.48
-19.50,-0.50
-19.56,-0.50
-19.57,-0.44
-19.59,-0.39
-19.56,-0.44
-19.61,-0.41
-19.65,-0.46
-19.69,-0.42
-19.64,-0.44
-19.58,-0.43
-19.56,-0.48
-19.62,-0.50
-19.57,-0.46
-19.61,-0.50
-19.60,-0.56
-19.61,-0.62
-19.67,-0.61
-19.66,-0.55
-19.60,-0.56
-19.63,-0.61
-19.61,-0.66
-19.58,-0.71
-19.60,-0.77
-19.61,-0.83
-19.67,-0.81
-19.69,-0.86
-19.73,-0.91
-19.70,-0.86
-19.64,-0.84
-19.59,-0.88
-19.63,-0.92
-19.69,-0.91
-19.63,-0.91
-19.66,-0.86
-19.63,-0.91
-19.57,-0.91
-19.62,-0.88
-19.65,-0.83
-19.62,-0.78
-19.64,-0.84
-19.63,-0.78
-19.67,-0.82
-19.73,-0.81
-19.79,-0.80
-19.85,-0.80
-19.85,-0.74
-19.91,-0.74
-19.85,-0.71
-19.91,-0.69
-19.95,-0.66
-19.94,-0.60
-19.90,-0.56
-19.90,-0.50
-19.93,-0.55
-19.96,-0.50
-19.90,-0.50
-19.95,-0.53
-19.90,-0.56
-19.94,-0.61
-19.97,-0.66
-19.96,-0.60
-19.93,-0.66
-19.88,-0.68
-19.89,-0.62
-19.89,-0.56
-19.86,-0.62
-19.90,-0.57
-19.86,-0.61
-19.89,-0.66
-19.95,-0.67
-19.94,-0.72
-19.92,-0.78
-19.89,-0.73
-19.83,-0.71
-19.78,-0.67
-19.84,-0.67
-19.79,-0.70
-19.78,-0.76
-19.73,-0.72
